a	あ
ba	ば
be	べ
bi	び
bo	ぼ
bu	ぶ
ca	か
ci	き
cu	く
ce	け
co	こ
da	だ
de	で
di	ぢ
do	ど
du	づ
e	え
fa	ぱ
fe	ぺ
fi	ぴ
fo	ぽ
fu	ぷ
ga	が
ge	げ
gi	ぎ
go	ご
gu	ぐ
ha	は
he	へ
hi	ひ
ho	ほ
hu	ふ
i	い
ma	ま
me	め
mi	み
mo	も
mu	む
n	ん
na	な
ne	ね
ni	に
nn	ん
no	の
nu	ぬ
o	お
p	ー
ra	ら
re	れ
ri	り
ro	ろ
ru	る
sa	さ
se	せ
si	し
so	そ
su	す
ta	た
te	て
ti	ち
to	と
tu	つ
u	う
va	や
vu	ゆ
vo	よ
wa	わ
we	ゑ
wi	ゐ
wo	を
za	ざ
ze	ぜ
zi	じ
zo	ぞ
zu	ず
'	っ
`a	ぁ
`i	ぃ
`u	ぅ
`e	ぇ
`o	ぉ
`ca	ヵ
`ce	ヶ
`wa	ゎ
`we	ゑ
`wi	ゐ
`va	ゃ
`vo	ょ
`vu	ゅ
`vs	ゃ
`vn	ょ
`vh	ゅ
;	あん
x	いん
k	うん
j	えん
q	おん
c;	かん
cx	きん
ck	くん
cj	けん
cq	こん
c'	かい
cy	くい
cp	くう
c.	けい
c,	こう
s;	さん
sx	しん
sk	すん
sj	せん
sq	そん
s'	さい
sy	すい
sp	すう
s.	せい
s,	そう
t;	たん
tx	ちん
tk	つん
tj	てん
tq	とん
t'	たい
ty	つい
tp	つう
t.	てい
t,	とう
n;	なん
nx	にん
nk	ぬん
nj	ねん
nq	のん
n'	ない
ny	ぬい
np	ぬう
n.	ねい
n,	のう
h;	はん
hx	ひん
hk	ふん
hj	へん
hq	ほん
h'	はい
hy	ふい
hp	ふう
h.	へい
h,	ほう
m;	まん
mx	みん
mk	むん
mj	めん
mq	もん
m'	まい
my	むい
mp	むう
m.	めい
m,	もう
r;	らん
rx	りん
rk	るん
rj	れん
rq	ろん
r'	らい
ry	るい
rp	るう
r.	れい
r,	ろう
w;	わん
wx	ゐん
wj	ゑん
wq	をん
w'	わい
w.	ゑい
w,	をう
v;	やん
vk	ゆん
vq	よん
v'	やい
vy	ゆい
vp	ゆう
v,	よう
g;	がん
gx	ぎん
gk	ぐん
gj	げん
gq	ごん
g'	がい
gy	ぐい
gp	ぐう
g.	げい
g,	ごう
z;	ざん
zx	じん
zk	ずん
zj	ぜん
zq	ぞん
z'	ざい
zy	ずい
zp	ずう
z.	ぜい
z,	ぞう
d;	だん
dx	ぢん
dk	づん
dj	でん
dq	どん
d'	だい
dy	づい
dp	づう
d.	でい
d,	どう
b;	ばん
bx	びん
bk	ぶん
bj	べん
bq	ぼん
b'	ばい
by	ぶい
bp	ぶう
b.	べい
b,	ぼう
f;	ぱん
fx	ぴん
fk	ぷん
fj	ぺん
fq	ぽん
f'	ぱい
fy	ぷい
fp	ぷう
f.	ぺい
f,	ぽう
cga	きゃ
cgi	きぃ
cgu	きゅ
cge	きぇ
cgo	きょ
cg;	きゃん
cgx	きぃん
cgk	きゅん
cgj	きぇん
cgq	きょん
cg'	きゃい
cgy	きゅい
cgp	きゅう
cg.	きぇい
cg,	きょう
sha	しゃ
shi	しぃ
shu	しゅ
she	しぇ
sho	しょ
sh;	しゃん
shx	しぃん
shk	しゅん
shj	しぇん
shq	しょん
sh'	しゃい
shy	しゅい
shp	しゅう
sh.	しぇい
sh,	しょう
tha	ちゃ
thi	ちぃ
thu	ちゅ
the	ちぇ
